name,categories,街镇名,lat,lng
嫩江路,居住区,殷行街道,31.31696033,121.5277471
洲海路,居住区,高行镇,31.31446743,121.5852228
场中路,居住区,大场镇,31.30557497,121.4090442
彭浦新村,居住区,彭浦新村街道,31.30846819,121.4440887
江湾镇,居住区,五角场街道,31.30752111,121.4806926
江湾体育场,混合区,五角场街道,31.30626883,121.5095908
翔殷路,混合区,五角场镇,31.30706872,121.5276719
五洲大道,混合区,高行镇,31.30478441,121.5851935
五角场,混合区,五角场街道,31.30010384,121.5102599
昌吉东路,居住区,安亭镇,31.29553239,121.1959566
南翔,居住区,南翔镇,31.29864218,121.3187377
大场镇,混合区,大场镇,31.29541365,121.4118416
黄兴公园,居住区,五角场镇,31.29780694,121.5288922
汶水路,工作区,大宁路街道,31.29452134,121.4455469
大柏树,混合区,曲阳路街道,31.2913875,121.4787172
国权路,混合区,五角场街道,31.2913759,121.5058083
东靖路,居住区,高行镇,31.29280442,121.5846977
安亭,混合区,安亭镇,31.29037097,121.1575348
上海汽车城,混合区,安亭镇,31.28731097,121.1763215
行知路,居住区,大场镇,31.28672028,121.4167811
延吉中路,居住区,延吉新村街道,31.29043958,121.5306161
桃浦新村,居住区,桃浦镇,31.28341104,121.344981
赤峰路,混合区,曲阳路街道,31.28313887,121.4779601
同济大学,混合区,四平路街道,31.28456738,121.5020631
爱国路,混合区,定海路街道,31.28215124,121.5487642
复兴岛,混合区,定海路街道,31.28290413,121.5568918
东陆路,居住区,沪东新村街道,31.28461389,121.5751348
巨峰路,居住区,浦兴路街道,31.28246058,121.5848784
杨高北路,居住区,浦兴路街道,31.28222697,121.5986809
金京路,居住区,金桥镇,31.28194791,121.6114236
申江路,工作区,金桥镇,31.2823596,121.623007
武威路,混合区,桃浦镇,31.2783515,121.3607794
上海马戏城,混合区,大宁路街道,31.28142251,121.4475062
曲阳路,居住区,欧阳路街道,31.27845388,121.4862929
江浦路,混合区,江浦路街道,31.27708141,121.5138858
黄兴路,居住区,控江路街道,31.28082849,121.5240764
隆昌路,混合区,定海路街道,31.27722281,121.5401258
祁连山路,混合区,桃浦镇,31.27339538,121.3712807
